# Calibrated: NO
timestamp,lat,lon,hdop,fix_type,em_fog,rssi_815,rssi_868,rssi_915
15.00,56.3397330,-2.7891588,1.2,3,11.2,-91.5,-93.0,-92.0
15.10,56.3397332,-2.7891605,1.2,3,11.2,-91.5,-93.0,-92.0
15.20,56.3397328,-2.7891608,1.2,3,11.2,-91.5,-93.0,-92.0
15.30,56.3397323,-2.7891648,1.2,3,11.5,-91.0,-93.0,-92.0
15.40,56.3397322,-2.7891663,1.2,3,11.5,-91.0,-93.0,-92.0
15.50,56.3397320,-2.7891655,1.2,3,11.5,-91.0,-93.0,-92.0
15.60,56.3397317,-2.7891657,1.2,3,11.9,-91.0,-92.0,-92.0
15.70,56.3397313,-2.7891655,1.2,3,11.9,-91.0,-92.0,-92.0
15.80,56.3397308,-2.7891667,1.2,3,11.9,-91.0,-92.0,-92.0
15.90,56.3397303,-2.7891683,1.2,3,11.9,-91.0,-92.0,-92.0
16.00,56.3397298,-2.7891708,1.2,3,10.0,-91.0,-92.0,-99.0
16.10,56.3397293,-2.7891730,1.2,3,10.0,-91.0,-92.0,-99.0
16.20,56.3397282,-2.7891753,1.2,3,10.0,-91.0,-92.0,-99.0
16.30,56.3397272,-2.7891753,1.2,3,9.4,-92.0,-92.0,-99.0
16.40,56.3397260,-2.7891765,1.2,3,9.4,-92.0,-92.0,-99.0
16.50,56.3397247,-2.7891775,1.2,3,9.4,-92.0,-92.0,-99.0
16.60,56.3397237,-2.7891792,1.2,3,9.7,-92.0,-91.5,-99.0
16.70,56.3397218,-2.7891785,1.2,3,9.7,-92.0,-91.5,-99.0
16.80,56.3397200,-2.7891790,1.2,3,9.7,-92.0,-91.5,-99.0
16.90,56.3397183,-2.7891800,1.2,3,9.6,-92.0,-91.5,-102.0
17.00,56.3397165,-2.7891815,1.2,3,9.6,-92.0,-91.5,-102.0
17.10,56.3397147,-2.7891845,1.2,3,9.6,-92.0,-91.5,-102.0
17.20,56.3397130,-2.7891872,1.2,3,9.9,-91.5,-91.5,-102.0
17.30,56.3397118,-2.7891898,1.2,3,9.9,-91.5,-91.5,-102.0
17.40,56.3397102,-2.7891937,1.2,3,9.9,-91.5,-91.5,-102.0
17.50,56.3397088,-2.7891955,1.2,3,9.9,-91.5,-91.5,-102.0
17.60,56.3397077,-2.7891968,1.2,3,8.6,-91.5,-94.0,-102.0
17.70,56.3397065,-2.7891980,1.2,3,8.6,-91.5,-94.0,-102.0
