timestamp,tick,gsr_raw
2026-06-30T23:26:07Z,0,6917.7
2026-06-30T23:26:07Z,1,6894.8
2026-06-30T23:26:07Z,2,6883.8
2026-06-30T23:26:08Z,3,6876.6
2026-06-30T23:26:08Z,4,6867.2
2026-06-30T23:26:08Z,5,6863.0
2026-06-30T23:26:08Z,6,6858.0
2026-06-30T23:26:08Z,7,6849.2
2026-06-30T23:26:08Z,8,6829.1
2026-06-30T23:26:08Z,9,6808.8
2026-06-30T23:26:08Z,0,6799.5
2026-06-30T23:26:08Z,1,6789.8
2026-06-30T23:26:08Z,2,6781.7
2026-06-30T23:26:09Z,3,6776.3
2026-06-30T23:26:09Z,4,6770.8
2026-06-30T23:26:09Z,5,6758.8
2026-06-30T23:26:09Z,6,6733.9
2026-06-30T23:26:09Z,7,6712.1
2026-06-30T23:26:09Z,8,6698.0
2026-06-30T23:26:09Z,9,6684.3
2026-06-30T23:26:09Z,0,6673.7
2026-06-30T23:26:09Z,1,6667.1
2026-06-30T23:26:09Z,2,6661.4
2026-06-30T23:26:10Z,3,6652.8
2026-06-30T23:26:10Z,4,6634.7
2026-06-30T23:26:10Z,5,6619.2
2026-06-30T23:26:10Z,6,6611.8
2026-06-30T23:26:10Z,7,6604.6
2026-06-30T23:26:10Z,8,6599.4
2026-06-30T23:26:10Z,9,6596.0
2026-06-30T23:26:10Z,0,6593.2
2026-06-30T23:26:10Z,1,6586.2
2026-06-30T23:26:10Z,2,6568.0
2026-06-30T23:26:11Z,3,6553.5
2026-06-30T23:26:11Z,4,6545.4
2026-06-30T23:26:11Z,5,6535.7
2026-06-30T23:26:11Z,6,6529.0
2026-06-30T23:26:11Z,7,6523.5
2026-06-30T23:26:11Z,8,6516.9
2026-06-30T23:26:11Z,9,6505.4
2026-06-30T23:26:11Z,0,6487.6
2026-06-30T23:26:11Z,1,6477.8
2026-06-30T23:26:11Z,2,6475.1
2026-06-30T23:26:12Z,3,6476.8
2026-06-30T23:26:12Z,4,6492.6
2026-06-30T23:26:12Z,5,6521.7
2026-06-30T23:26:12Z,6,6567.6
2026-06-30T23:26:12Z,7,6620.3
2026-06-30T23:26:12Z,8,6686.0
2026-06-30T23:26:12Z,9,6780.0
2026-06-30T23:26:12Z,0,6879.7
2026-06-30T23:26:12Z,1,6978.9
2026-06-30T23:26:12Z,2,7077.1
2026-06-30T23:26:13Z,3,7166.8
2026-06-30T23:26:13Z,4,7235.1
2026-06-30T23:26:13Z,5,7270.7
2026-06-30T23:26:13Z,6,7297.6
2026-06-30T23:26:13Z,7,7320.2
2026-06-30T23:26:13Z,8,7329.3
2026-06-30T23:26:13Z,9,7326.9
2026-06-30T23:26:13Z,0,7315.9
2026-06-30T23:26:13Z,1,7294.2
2026-06-30T23:26:13Z,2,7255.3
2026-06-30T23:26:14Z,3,7193.0
2026-06-30T23:26:14Z,4,7133.6
2026-06-30T23:26:14Z,5,7087.6
2026-06-30T23:26:14Z,6,7052.0
2026-06-30T23:26:14Z,7,7021.6
2026-06-30T23:26:14Z,8,6990.0
2026-06-30T23:26:14Z,9,6958.3
2026-06-30T23:26:14Z,0,6919.6
2026-06-30T23:26:14Z,1,6872.6
2026-06-30T23:26:14Z,2,6837.4
2026-06-30T23:26:15Z,3,6809.6
2026-06-30T23:26:15Z,4,6786.4
2026-06-30T23:26:15Z,5,6765.8
2026-06-30T23:26:15Z,6,6748.5
2026-06-30T23:26:15Z,7,6733.2
2026-06-30T23:26:15Z,8,6712.5
2026-06-30T23:26:15Z,9,6683.1
2026-06-30T23:26:15Z,0,6663.8
2026-06-30T23:26:15Z,1,6648.6
2026-06-30T23:26:15Z,2,6635.3
2026-06-30T23:26:16Z,3,6626.9
2026-06-30T23:26:16Z,4,6619.4
2026-06-30T23:26:16Z,5,6608.6
2026-06-30T23:26:16Z,6,6591.5
2026-06-30T23:26:16Z,7,6566.5
2026-06-30T23:26:16Z,8,6550.5
2026-06-30T23:26:16Z,9,6542.5
