# RecordingStartTime:1785503000
timestamp,lat,lon,hdop,pdop,sats,fix_type,speed_kts,course_deg,gsr_raw,hacc_m,rssi_815,rssi_868,rssi_915
102.50,55.9538500,-3.1915468,2.9,18.9,11,3,3.29,252.1,8623.4,3.6,-60.5,-102.0,-101.5
102.60,55.9538482,-3.1915490,2.9,18.9,11,3,2.67,249.0,8610.0,3.6,-60.5,-102.0,-101.5
102.70,55.9538432,-3.1915530,2.9,18.9,12,3,3.49,227.7,8588.2,3.6,-60.5,-102.0,-101.5
102.80,55.9538418,-3.1915555,2.9,18.9,12,3,3.82,222.6,8548.2,3.6,-60.5,-102.0,-101.5
102.90,55.9538428,-3.1915593,2.9,18.9,12,3,3.69,224.4,8517.8,3.6,-60.5,-102.0,-101.5
103.00,55.9538457,-3.1915640,2.9,18.9,12,3,3.47,231.4,8531.3,3.6,-60.5,-102.0,-101.5
103.10,55.9538413,-3.1915645,2.9,18.9,6,3,3.24,225.7,8556.0,3.6,-60.5,-102.0,-101.5
103.20,55.9538480,-3.1915700,2.9,18.9,12,3,2.82,235.1,8551.0,3.6,-60.5,-102.0,-101.5
103.30,55.9538480,-3.1915733,2.9,18.9,12,3,3.12,245.4,8478.5,3.6,-60.5,-102.5,-101.5
103.40,55.9538515,-3.1915785,2.9,18.9,12,3,3.60,257.5,8429.9,3.6,-60.5,-102.5,-101.5
103.50,55.9538515,-3.1915785,2.9,18.9,12,3,3.60,257.5,8440.9,3.6,-60.5,-102.5,-101.5
103.60,55.9538513,-3.1915805,2.9,18.9,12,3,2.64,260.6,8453.6,3.6,-60.5,-102.5,-101.5
103.70,55.9538483,-3.1915843,2.9,18.9,6,3,2.56,252.6,8478.5,3.6,-60.5,-102.5,-101.5
103.80,55.9538518,-3.1915890,2.9,18.9,12,3,2.88,258.3,8475.7,3.6,-60.5,-102.5,-101.5
103.90,55.9538547,-3.1915945,2.9,18.8,12,3,3.78,266.7,8477.5,3.6,-60.5,-102.0,-101.5
104.00,55.9538538,-3.1915970,2.9,18.8,12,3,3.43,266.5,8498.9,3.6,-60.5,-102.0,-101.5
104.10,55.9538535,-3.1916003,2.9,18.8,6,3,3.27,265.8,8528.4,3.6,-60.5,-102.0,-101.5
104.20,55.9538542,-3.1916025,2.9,18.8,6,3,2.51,266.2,8556.7,3.6,-60.5,-102.0,-101.5
104.30,55.9538538,-3.1916048,2.9,18.8,12,3,2.29,264.0,8564.7,3.6,-60.5,-102.0,-101.5
104.40,55.9538532,-3.1916075,2.9,18.8,12,3,2.75,257.9,8532.4,3.6,-60.5,-102.0,-101.5
104.50,55.9538532,-3.1916075,2.9,18.8,12,3,2.75,257.9,8518.0,3.6,-60.5,-102.0,-101.5
104.60,55.9538523,-3.1916133,2.9,18.8,12,3,2.83,250.6,8553.3,3.6,-60.5,-102.0,-101.5
104.70,55.9538527,-3.1916160,2.9,18.8,12,3,2.56,249.7,8590.0,3.6,-60.5,-102.0,-101.5
104.80,55.9538508,-3.1916172,2.9,18.8,12,3,2.43,241.8,8605.0,3.6,-60.5,-102.0,-101.5
104.90,55.9538520,-3.1916208,2.9,18.8,12,3,2.79,243.8,8602.8,3.6,-60.5,-102.0,-101.5
105.00,55.9538505,-3.1916237,2.9,18.8,12,3,3.50,241.5,8607.5,3.6,-60.5,-102.0,-101.5
105.10,55.9538497,-3.1916260,2.9,18.8,6,3,3.17,239.8,8660.8,3.6,-60.5,-102.0,-101.5
105.20,55.9538505,-3.1916288,2.9,18.8,12,3,2.78,240.6,8734.7,3.6,-60.5,-102.0,-101.5
105.30,55.9538500,-3.1916310,2.9,18.8,12,3,2.92,238.6,8794.0,3.6,-60.5,-102.0,-101.5
105.40,55.9538498,-3.1916330,2.9,18.8,12,3,2.99,235.4,8804.2,3.6,-60.5,-102.0,-101.5
105.50,55.9538498,-3.1916330,2.9,18.8,12,3,2.99,235.4,8797.6,3.6,-60.5,-102.0,-101.5
105.60,55.9538527,-3.1916372,2.9,18.8,12,3,3.06,242.1,8787.2,3.6,-60.5,-102.0,-101.5
105.70,55.9538510,-3.1916412,2.9,18.8,13,3,2.56,241.5,8804.7,3.6,-60.5,-102.0,-101.5
105.80,55.9538527,-3.1916440,2.9,18.8,13,3,2.35,244.2,8838.0,3.6,-60.5,-102.0,-101.5
105.90,55.9538518,-3.1916460,2.9,18.8,13,3,2.58,240.8,8813.3,3.6,-60.5,-102.0,-101.5
106.00,55.9538545,-3.1916507,2.9,18.8,13,3,3.03,249.0,8755.8,3.6,-60.5,-102.0,-101.5
106.10,55.9538525,-3.1916530,2.9,18.8,6,3,3.58,243.9,8706.8,3.6,-60.5,-102.0,-101.5
106.20,55.9538537,-3.1916563,2.9,18.8,13,3,3.07,245.7,8686.7,3.6,-60.5,-102.0,-101.5
106.30,55.9538530,-3.1916580,2.9,18.8,13,3,2.46,244.0,8685.9,3.6,-60.5,-102.0,-103.0
106.40,55.9538535,-3.1916603,2.9,18.8,6,3,2.58,243.6,8686.9,3.6,-60.5,-102.0,-103.0
106.50,55.9538535,-3.1916603,2.9,18.8,13,3,2.58,243.6,8635.0,3.6,-60.5,-102.0,-102.5
106.60,55.9538530,-3.1916655,2.9,18.8,13,3,3.07,240.8,8573.9,3.6,-60.5,-102.0,-102.5
106.70,55.9538533,-3.1916685,2.9,18.8,12,3,2.88,245.1,8521.6,3.6,-60.5,-102.0,-102.5
